Train: [1][0/13], lr: 0.00300	Time 0.626 (0.626)	Data 0.553 (0.553)	Prec@1 0.781 (0.781)	Prec@1 0.000 (0.000)	Prec@1 0.000 (0.000)	Prec@5 3.125 (3.125)	Prec@5 0.000 (0.000)	Prec@5 0.000 (0.000)	Loss 5.1385 (5.1385)   loss_verb 4.5740   loss_noun 5.7030	
Train: [19][0/13], lr: 0.00030	Time 0.527 (0.527)	Data 0.490 (0.490)	Prec@1 100.000 (100.000)	Prec@1 100.000 (100.000)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)	Prec@5 100.000 (100.000)	Prec@5 100.000 (100.000)	Loss 0.0000 (0.0000)   loss_verb 0.0000   loss_noun 0.0000	
Train: [20][0/13], lr: 0.00003	Time 0.520 (0.520)	Data 0.463 (0.463)	Prec@1 100.000 (100.000)	Prec@1 100.000 (100.000)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)	Prec@5 100.000 (100.000)	Prec@5 100.000 (100.000)	Loss 0.0000 (0.0000)   loss_verb 0.0000   loss_noun 0.0000	
Train: [21][0/13], lr: 0.00003	Time 0.532 (0.532)	Data 0.464 (0.464)	Prec@1 100.000 (100.000)	Prec@1 100.000 (100.000)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)	Prec@5 100.000 (100.000)	Prec@5 100.000 (100.000)	Loss 0.0000 (0.0000)   loss_verb 0.0000   loss_noun 0.0000	
Train: [22][0/13], lr: 0.00003	Time 0.527 (0.527)	Data 0.472 (0.472)	Prec@1 100.000 (100.000)	Prec@1 100.000 (100.000)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)	Prec@5 100.000 (100.000)	Prec@5 100.000 (100.000)	Loss 0.0000 (0.0000)   loss_verb 0.0000   loss_noun 0.0000	
Train: [23][0/13], lr: 0.00003	Time 0.557 (0.557)	Data 0.488 (0.488)	Prec@1 100.000 (100.000)	Prec@1 100.000 (100.000)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)	Prec@5 100.000 (100.000)	Prec@5 100.000 (100.000)	Loss 0.0000 (0.0000)   loss_verb 0.0000   loss_noun 0.0000	
Train: [24][0/13], lr: 0.00003	Time 0.543 (0.543)	Data 0.494 (0.494)	Prec@1 100.000 (100.000)	Prec@1 100.000 (100.000)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)	Prec@5 100.000 (100.000)	Prec@5 100.000 (100.000)	Loss 0.0000 (0.0000)   loss_verb 0.0000   loss_noun 0.0000	
Train: [25][0/13], lr: 0.00003	Time 0.503 (0.503)	Data 0.465 (0.465)	Prec@1 100.000 (100.000)	Prec@1 100.000 (100.000)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)	Prec@5 100.000 (100.000)	Prec@5 100.000 (100.000)	Loss 0.0000 (0.0000)   loss_verb 0.0000   loss_noun 0.0000	
Train: [26][0/13], lr: 0.00003	Time 0.563 (0.563)	Data 0.522 (0.522)	Prec@1 100.000 (100.000)	Prec@1 100.000 (100.000)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)	Prec@5 100.000 (100.000)	Prec@5 100.000 (100.000)	Loss 0.0000 (0.0000)   loss_verb 0.0000   loss_noun 0.0000	
Train: [27][0/13], lr: 0.00003	Time 0.570 (0.570)	Data 0.535 (0.535)	Prec@1 100.000 (100.000)	Prec@1 100.000 (100.000)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)	Prec@5 100.000 (100.000)	Prec@5 100.000 (100.000)	Loss 0.0000 (0.0000)   loss_verb 0.0000   loss_noun 0.0000	
Train: [28][0/13], lr: 0.00003	Time 0.566 (0.566)	Data 0.507 (0.507)	Prec@1 100.000 (100.000)	Prec@1 100.000 (100.000)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)	Prec@5 100.000 (100.000)	Prec@5 100.000 (100.000)	Loss 0.0000 (0.0000)   loss_verb 0.0000   loss_noun 0.0000	
Train: [29][0/13], lr: 0.00003	Time 0.551 (0.551)	Data 0.493 (0.493)	Prec@1 100.000 (100.000)	Prec@1 100.000 (100.000)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)	Prec@5 100.000 (100.000)	Prec@5 100.000 (100.000)	Loss 0.0000 (0.0000)   loss_verb 0.0000   loss_noun 0.0000	
Train: [30][0/13], lr: 0.00003	Time 0.534 (0.534)	Data 0.468 (0.468)	Prec@1 100.000 (100.000)	Prec@1 100.000 (100.000)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)	Prec@5 100.000 (100.000)	Prec@5 100.000 (100.000)	Loss 0.0000 (0.0000)   loss_verb 0.0000   loss_noun 0.0000	
total time: 54.369 
